<cur_step>,<num_susceptible>,<num_infected>,<num_recovered>
1475,26,24,0
1476,26,24,0
1477,26,24,0
1478,26,24,0
1479,26,24,0
1480,26,24,0
1481,26,24,0
1482,26,24,0
1483,26,24,0
1484,26,24,0
1485,26,24,0
1486,26,24,0
1487,26,24,0
1488,26,24,0
1489,26,24,0
1490,26,24,0
1491,26,24,0
1492,26,24,0
1493,26,24,0
1494,26,24,0
1495,26,24,0
1496,26,24,0
1497,26,24,0
1498,26,24,0
1499,26,24,0
1500,26,24,0
1501,26,24,0
1502,26,24,0
1503,26,24,0
1504,26,24,0
1505,26,24,0
1506,26,24,0
1507,26,24,0
1508,26,24,0
1509,26,24,0
1510,26,24,0
1511,26,24,0
1512,26,24,0
1513,26,24,0
1514,26,24,0
1515,26,24,0
1516,26,24,0
1517,26,24,0
1518,26,24,0
1519,26,24,0
1520,26,24,0
1521,26,24,0
1522,26,24,0
1523,26,24,0
1524,26,24,0
1525,26,24,0
1526,26,24,0
1527,26,24,0
1528,26,24,0
1529,26,24,0
1530,26,24,0
1531,26,24,0
1532,26,24,0
1533,26,24,0
1534,26,24,0
1535,26,24,0
1536,25,25,0
1537,25,25,0
1538,25,25,0
1539,25,25,0
1540,25,25,0
1541,25,25,0
1542,25,25,0
1543,25,25,0
1544,25,25,0
1545,25,25,0
1546,25,25,0
1547,25,25,0
1548,25,25,0
1549,25,25,0
1550,25,25,0
1551,25,25,0
1552,25,25,0
1553,25,25,0
1554,25,25,0
1555,25,25,0
1556,25,25,0
1557,25,25,0
1558,25,25,0
1559,25,25,0
1560,25,25,0
1561,25,25,0
1562,25,25,0
1563,25,25,0
1564,25,25,0
1565,25,25,0
1566,25,25,0
1567,25,25,0
1568,25,25,0
1569,25,25,0
1570,25,25,0
1571,25,25,0
1572,25,25,0
1573,25,25,0
1574,25,25,0
1575,25,25,0
1576,25,25,0
1577,25,25,0
1578,25,25,0
1579,25,25,0
1580,25,25,0
1581,25,25,0
1582,25,25,0
1583,25,25,0
1584,25,25,0
1585,25,25,0
1586,25,25,0
